vocab,add,added,address,back,c,cancelled,choice,close,closed,commit,conn,connect,connected,connection,contains,create,cursor,customer,customers,data,database,db,default,delete,deleted,details,e,edit,email,enter,error,execute,exist,exists,exit,failed,fetchall,fetchone,file,finance,foreign,found,from,function,functions,get,getcwd,id,if,init,inner,input,insert,inside,insights,integer,into,inventory,join,key,loop,main,manage,menu,module,modules,n,name,no,not,null,od,on,open,order,orderdetail,orderdetails,orders,os,p,path,price,primary,print,prints,product,products,produts,program,provides,quantity,quantiy,real,references,returns,sales,salie,search,select,self,sep,set,sql,sqlite,staticmethod,status,stock,succesfully,successfully,table,tables,text,this,try,update,util,valid,values,view,where,whole,workflow
salie.__init__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salie.main,1,0,0,4,0,0,16,1,0,0,0,0,0,1,0,3,0,22,12,0,2,3,0,4,0,0,0,0,3,17,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,20,0,0,0,36,0,0,0,0,0,0,0,0,3,3,0,5,1,0,0,7,0,5,0,0,0,0,19,5,2,13,0,0,0,3,0,10,0,24,13,0,0,1,3,0,0,0,0,1,26,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5,0,6,5,0,10,0,1,1
salie.database.Database,0,0,0,0,6,0,0,4,0,2,10,1,1,6,0,14,1,0,2,1,8,3,0,0,0,0,4,0,0,0,2,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,16,1,0,4,3,0,0,0,1,0,8,4,0,0,0,0,0,0,0,0,0,0,0
salie.database.Database.__init__,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
salie.database.Database.create_connection,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,2,0,0,0,0,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salie.database,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,0,2,1,2,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,13,4,0,0,0,0,0,0,9,0,0,0,7,0,0,1,0,1,0,0,2,0,6,2,0,0,0,4,1,2,3,1,0,0,1,4,0,0,4,3,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,8,0,5,1,0,0,0,0,0,0,0,0,0
salie.database.Database.create_tables,0,0,0,0,6,0,0,1,0,2,3,0,0,1,0,10,1,0,2,0,2,0,0,0,0,0,2,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0
salie.database.Database.close_connection,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salie.order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
salie.order.Order,0,1,0,0,9,1,0,3,1,1,4,0,0,0,0,2,3,6,0,7,2,5,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,2,2,1,0,0,0,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,15,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,8,0,0,4,0,2,6,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
salie.order.Order.__init__,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salie.order.Order.create_order,0,1,0,0,3,0,0,1,0,1,2,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
salie.order.Order.view_orders,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
salie.order.Order.search_order,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
salie.customer.Customer.view_customers,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,1,2,4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
salie.customer.Customer.delete_customer,0,0,0,0,3,0,0,1,0,1,2,0,0,0,0,0,1,6,1,0,2,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
salie.customer.Customer.search_customer,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,8,1,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
salie.customer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
salie.customer.Customer.create_customer,0,1,0,0,3,0,0,1,0,1,2,0,0,0,0,2,1,5,1,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
salie.customer.Customer.edit_customer,0,0,0,0,3,0,0,1,0,1,2,0,0,0,0,0,1,4,1,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
salie.customer.Customer.__init__,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
